
cons = 1	11295498 (100.0)	179253 (100.0)	1059377 (100.0)	355195 (100.0)	333831 (100.0)	
agegroup = 1	3421561 (30.3)	97323 (54.3)	494537 (46.7)	147586 (41.6)	178499 (53.5)	
agegroup = 2	1838647 (16.3)	36669 (20.5)	252690 (23.9)	84268 (23.7)	72072 (21.6)	
agegroup = 3	2084805 (18.5)	25606 (14.3)	143614 (13.6)	70052 (19.7)	42485 (12.7)	
agegroup = 4	1720122 (15.2)	11796 ( 6.6)	96704 ( 9.1)	30687 ( 8.6)	23887 ( 7.2)	
agegroup = 5	1460546 (12.9)	5202 ( 2.9)	46763 ( 4.4)	12899 ( 3.6)	11703 ( 3.5)	
agegroup = 6	769817 ( 6.8)	2657 ( 1.5)	25069 ( 2.4)	9703 ( 2.7)	5185 ( 1.6)	
male = 0	5872445 (52.0)	92162 (51.4)	508560 (48.0)	177044 (49.8)	163852 (49.1)	
male = 1	5423053 (48.0)	87091 (48.6)	550817 (52.0)	178151 (50.2)	169979 (50.9)	
imd = 1	2423497 (21.5)	23885 (13.3)	93346 ( 8.8)	24089 ( 6.8)	45053 (13.5)	
imd = 2	2378336 (21.1)	28929 (16.1)	121274 (11.4)	36626 (10.3)	57590 (17.3)	
imd = 3	2336657 (20.7)	34831 (19.4)	201001 (19.0)	59057 (16.6)	65490 (19.6)	
imd = 4	2174386 (19.3)	42262 (23.6)	304523 (28.7)	94714 (26.7)	81802 (24.5)	
imd = 5	1982622 (17.6)	49346 (27.5)	339233 (32.0)	140709 (39.6)	83896 (25.1)	
